Data/Hora,Chuva Horária (mm),Nível adotado (cm),,,,,,,,,,,,,,,,,,
4/6/2024 18:00,0,555,,,,,,,,,,,,,,,,,,
4/6/2024 17:45,0,555,,,,,,,,,,,,,,,,,,
4/6/2024 17:30,0,556,,,,,,,,,,,,,,,,,,
4/6/2024 17:15,0,556,,,,,,,,,,,,,,,,,,
4/6/2024 17:00,0,556,,,,,,,,,,,,,,,,,,
4/6/2024 16:45,0,557,,,,,,,,,,,,,,,,,,
4/6/2024 16:30,0,557,,,,,,,,,,,,,,,,,,
4/6/2024 16:15,0,557,,,,,,,,,,,,,,,,,,
4/6/2024 16:00,0,557,,,,,,,,,,,,,,,,,,
4/6/2024 15:45,0,558,,,,,,,,,,,,,,,,,,
4/6/2024 15:30,0,558,,,,,,,,,,,,,,,,,,
4/6/2024 15:15,0,558,,,,,,,,,,,,,,,,,,
4/6/2024 15:00,0,558,,,,,,,,,,,,,,,,,,
4/6/2024 14:45,0,559,,,,,,,,,,,,,,,,,,
4/6/2024 14:30,0,559,,,,,,,,,,,,,,,,,,
4/6/2024 14:15,0,560,,,,,,,,,,,,,,,,,,
4/6/2024 14:00,0,560,,,,,,,,,,,,,,,,,,
4/6/2024 13:45,0,560,,,,,,,,,,,,,,,,,,
4/6/2024 13:30,0,560,,,,,,,,,,,,,,,,,,
4/6/2024 13:15,0,560,,,,,,,,,,,,,,,,,,
4/6/2024 13:00,0,561,,,,,,,,,,,,,,,,,,
4/6/2024 12:45,0,561,,,,,,,,,,,,,,,,,,
4/6/2024 12:30,0,562,,,,,,,,,,,,,,,,,,
4/6/2024 12:15,0,562,,,,,,,,,,,,,,,,,,
4/6/2024 12:00,0,562,,,,,,,,,,,,,,,,,,
4/6/2024 11:45,0,562,,,,,,,,,,,,,,,,,,
4/6/2024 11:30,0,562,,,,,,,,,,,,,,,,,,
4/6/2024 11:15,0,562,,,,,,,,,,,,,,,,,,
4/6/2024 11:00,0,563,,,,,,,,,,,,,,,,,,
4/6/2024 10:45,0,563,,,,,,,,,,,,,,,,,,
4/6/2024 10:30,0,563,,,,,,,,,,,,,,,,,,
4/6/2024 10:15,0,564,,,,,,,,,,,,,,,,,,
4/6/2024 10:00,0,564,,,,,,,,,,,,,,,,,,
4/6/2024 9:45,0,564,,,,,,,,,,,,,,,,,,
4/6/2024 9:30,0,564,,,,,,,,,,,,,,,,,,
4/6/2024 9:15,0,565,,,,,,,,,,,,,,,,,,
4/6/2024 9:00,0,565,,,,,,,,,,,,,,,,,,
4/6/2024 8:45,0,565,,,,,,,,,,,,,,,,,,
4/6/2024 8:30,0,565,,,,,,,,,,,,,,,,,,
4/6/2024 8:15,0,566,,,,,,,,,,,,,,,,,,
4/6/2024 8:00,0,566,,,,,,,,,,,,,,,,,,
4/6/2024 7:45,0,566,,,,,,,,,,,,,,,,,,
4/6/2024 7:30,0,566,,,,,,,,,,,,,,,,,,
4/6/2024 7:15,0,567,,,,,,,,,,,,,,,,,,
4/6/2024 7:00,0,567,,,,,,,,,,,,,,,,,,
4/6/2024 6:45,0,568,,,,,,,,,,,,,,,,,,
4/6/2024 6:30,0,567,,,,,,,,,,,,,,,,,,
4/6/2024 6:15,0,568,,,,,,,,,,,,,,,,,,
4/6/2024 6:00,0,568,,,,,,,,,,,,,,,,,,
4/6/2024 5:45,0,568,,,,,,,,,,,,,,,,,,
4/6/2024 5:30,0,569,,,,,,,,,,,,,,,,,,
4/6/2024 5:15,0,569,,,,,,,,,,,,,,,,,,
4/6/2024 5:00,0,569,,,,,,,,,,,,,,,,,,
4/6/2024 4:45,0,569,,,,,,,,,,,,,,,,,,
4/6/2024 4:30,0,570,,,,,,,,,,,,,,,,,,
4/6/2024 4:15,0,570,,,,,,,,,,,,,,,,,,
4/6/2024 4:00,0,570,,,,,,,,,,,,,,,,,,
4/6/2024 3:45,0,571,,,,,,,,,,,,,,,,,,
4/6/2024 3:30,0,571,,,,,,,,,,,,,,,,,,
4/6/2024 3:15,0,572,,,,,,,,,,,,,,,,,,
