Data/Hora,Chuva Horária (mm),Nível adotado (cm),,,,,,,,,,,,,,,,,,
26/05/2024 08:30:00,,670,,,,,,,,,,,,,,,,,,
25/05/2024 18:00:00,,698,,,,,,,,,,,,,,,,,,
25/05/2024 09:30:00,,706,,,,,,,,,,,,,,,,,,
24/05/2024 17:00:00,,710,,,,,,,,,,,,,,,,,,
24/05/2024 10:30:00,,690,,,,,,,,,,,,,,,,,,
23/05/2024 18:30:00,,592,,,,,,,,,,,,,,,,,,
23/05/2024 07:00:00,,578,,,,,,,,,,,,,,,,,,
22/05/2024 07:00:00,,619,,,,,,,,,,,,,,,,,,
21/05/2024 07:00:00,,664,,,,,,,,,,,,,,,,,,
18/05/2024 07:00:00,,788,,,,,,,,,,,,,,,,,,
17/05/2024 07:00:00,,877,,,,,,,,,,,,,,,,,,
16/05/2024 18:00:00,,933,,,,,,,,,,,,,,,,,,
16/05/2024 09:00:00,,986,,,,,,,,,,,,,,,,,,
15/05/2024 06:30:00,,1270,,,,,,,,,,,,,,,,,,
13/05/2024 17:00:00,,1351,,,,,,,,,,,,,,,,,,
13/05/2024 08:00:00,,1248,,,,,,,,,,,,,,,,,,
12/5/2024 18:27,,1116,,,,,,,,,,,,,,,,,,
12/5/2024 8:30,,1062,,,,,,,,,,,,,,,,,,
11/5/2024 17:00,,1005,,,,,,,,,,,,,,,,,,
11/5/2024 10:00,,980,,,,,,,,,,,,,,,,,,
11/5/2024 7:00,,977,,,,,,,,,,,,,,,,,,
10/5/2024 17:00,,978,,,,,,,,,,,,,,,,,,
10/5/2024 7:00,,1005,,,,,,,,,,,,,,,,,,
9/5/2024 17:00,,1038,,,,,,,,,,,,,,,,,,
9/5/2024 7:00,,1052,,,,,,,,,,,,,,,,,,
8/5/2024 7:00,,1148,,,,,,,,,,,,,,,,,,
7/5/2024 17:00,,1214,,,,,,,,,,,,,,,,,,
2/5/2024 8:45,0,1376,,,,,,,,,,,,,,,,,,
2/5/2024 8:30,0,1372,,,,,,,,,,,,,,,,,,
2/5/2024 8:15,0,1367,,,,,,,,,,,,,,,,,,
2/5/2024 8:00,0,1362,,,,,,,,,,,,,,,,,,
2/5/2024 7:45,0,1357,,,,,,,,,,,,,,,,,,
2/5/2024 7:30,0,1352,,,,,,,,,,,,,,,,,,
2/5/2024 7:15,0,1347,,,,,,,,,,,,,,,,,,
2/5/2024 7:00,0,1343,,,,,,,,,,,,,,,,,,
2/5/2024 6:45,0,1338,,,,,,,,,,,,,,,,,,
2/5/2024 6:30,0,1333,,,,,,,,,,,,,,,,,,
