Data/Hora,Chuva Horária (mm),Nível adotado (cm),,,,,,,,,,,,,,,,,,
3/6/2024 17:30,0,430,,,,,,,,,,,,,,,,,,
3/6/2024 17:15,0,430,,,,,,,,,,,,,,,,,,
3/6/2024 17:00,0,431,,,,,,,,,,,,,,,,,,
3/6/2024 16:45,0,431,,,,,,,,,,,,,,,,,,
3/6/2024 16:30,0,431,,,,,,,,,,,,,,,,,,
3/6/2024 16:15,0,431,,,,,,,,,,,,,,,,,,
3/6/2024 16:00,0,431,,,,,,,,,,,,,,,,,,
3/6/2024 15:45,0,431,,,,,,,,,,,,,,,,,,
3/6/2024 15:30,0,431,,,,,,,,,,,,,,,,,,
3/6/2024 15:15,0,431,,,,,,,,,,,,,,,,,,
3/6/2024 15:00,0,431,,,,,,,,,,,,,,,,,,
3/6/2024 14:45,0,431,,,,,,,,,,,,,,,,,,
3/6/2024 14:30,0,432,,,,,,,,,,,,,,,,,,
3/6/2024 14:15,0,432,,,,,,,,,,,,,,,,,,
3/6/2024 14:00,0,432,,,,,,,,,,,,,,,,,,
3/6/2024 13:45,0,432,,,,,,,,,,,,,,,,,,
3/6/2024 13:30,0,432,,,,,,,,,,,,,,,,,,
3/6/2024 13:15,0,432,,,,,,,,,,,,,,,,,,
3/6/2024 13:00,0,432,,,,,,,,,,,,,,,,,,
3/6/2024 12:45,0.2,432,,,,,,,,,,,,,,,,,,
3/6/2024 12:30,0,432,,,,,,,,,,,,,,,,,,
3/6/2024 12:15,0,432,,,,,,,,,,,,,,,,,,
3/6/2024 12:00,0,432,,,,,,,,,,,,,,,,,,
3/6/2024 11:45,0.2,433,,,,,,,,,,,,,,,,,,
3/6/2024 11:30,0.2,433,,,,,,,,,,,,,,,,,,
3/6/2024 11:15,0.2,433,,,,,,,,,,,,,,,,,,
3/6/2024 11:00,0,433,,,,,,,,,,,,,,,,,,
3/6/2024 10:45,0.4,433,,,,,,,,,,,,,,,,,,
3/6/2024 10:30,0.6,433,,,,,,,,,,,,,,,,,,
3/6/2024 10:15,1.2,433,,,,,,,,,,,,,,,,,,
3/6/2024 10:00,0.8,433,,,,,,,,,,,,,,,,,,
3/6/2024 9:45,1.2,432,,,,,,,,,,,,,,,,,,
3/6/2024 9:30,1.4,432,,,,,,,,,,,,,,,,,,
3/6/2024 9:15,2.2,432,,,,,,,,,,,,,,,,,,
3/6/2024 9:00,1.6,432,,,,,,,,,,,,,,,,,,
3/6/2024 8:45,0.8,432,,,,,,,,,,,,,,,,,,
3/6/2024 8:30,0.8,432,,,,,,,,,,,,,,,,,,
3/6/2024 8:15,0.8,432,,,,,,,,,,,,,,,,,,
3/6/2024 8:00,0,433,,,,,,,,,,,,,,,,,,
3/6/2024 7:45,0,433,,,,,,,,,,,,,,,,,,
3/6/2024 7:30,0,433,,,,,,,,,,,,,,,,,,
3/6/2024 7:15,0,433,,,,,,,,,,,,,,,,,,
3/6/2024 7:00,0,433,,,,,,,,,,,,,,,,,,
3/6/2024 6:45,0,434,,,,,,,,,,,,,,,,,,
3/6/2024 6:30,0,434,,,,,,,,,,,,,,,,,,
3/6/2024 6:15,0,434,,,,,,,,,,,,,,,,,,
3/6/2024 6:00,0,434,,,,,,,,,,,,,,,,,,
3/6/2024 5:45,0,434,,,,,,,,,,,,,,,,,,
3/6/2024 5:30,0,434,,,,,,,,,,,,,,,,,,
3/6/2024 5:15,0,434,,,,,,,,,,,,,,,,,,
3/6/2024 5:00,0,435,,,,,,,,,,,,,,,,,,
3/6/2024 4:45,0,435,,,,,,,,,,,,,,,,,,
3/6/2024 4:30,0,435,,,,,,,,,,,,,,,,,,
3/6/2024 4:15,0,435,,,,,,,,,,,,,,,,,,
3/6/2024 4:00,0,435,,,,,,,,,,,,,,,,,,
3/6/2024 3:45,0,435,,,,,,,,,,,,,,,,,,
3/6/2024 3:30,0,435,,,,,,,,,,,,,,,,,,
