Data/Hora,Chuva Horária (mm),Nível adotado (cm),,,,,,,,,,,,,,,,,,
4/6/2024 20:30,0,491,,,,,,,,,,,,,,,,,,
4/6/2024 20:15,0,491,,,,,,,,,,,,,,,,,,
4/6/2024 20:00,0,491,,,,,,,,,,,,,,,,,,
4/6/2024 19:45,0,491,,,,,,,,,,,,,,,,,,
4/6/2024 19:30,0,491,,,,,,,,,,,,,,,,,,
4/6/2024 19:15,0,490,,,,,,,,,,,,,,,,,,
4/6/2024 19:00,0,490,,,,,,,,,,,,,,,,,,
4/6/2024 18:45,0,490,,,,,,,,,,,,,,,,,,
4/6/2024 18:30,0,489,,,,,,,,,,,,,,,,,,
4/6/2024 18:15,0,489,,,,,,,,,,,,,,,,,,
4/6/2024 18:00,0,488,,,,,,,,,,,,,,,,,,
4/6/2024 17:45,0,487,,,,,,,,,,,,,,,,,,
4/6/2024 17:30,0,485,,,,,,,,,,,,,,,,,,
4/6/2024 17:15,0,482,,,,,,,,,,,,,,,,,,
4/6/2024 17:00,0,482,,,,,,,,,,,,,,,,,,
4/6/2024 16:45,0,483,,,,,,,,,,,,,,,,,,
4/6/2024 16:30,0,483,,,,,,,,,,,,,,,,,,
4/6/2024 16:15,0,483,,,,,,,,,,,,,,,,,,
4/6/2024 16:00,0,483,,,,,,,,,,,,,,,,,,
4/6/2024 15:45,0,484,,,,,,,,,,,,,,,,,,
4/6/2024 15:30,0,484,,,,,,,,,,,,,,,,,,
4/6/2024 15:15,0,484,,,,,,,,,,,,,,,,,,
4/6/2024 15:00,0,486,,,,,,,,,,,,,,,,,,
4/6/2024 14:45,0,487,,,,,,,,,,,,,,,,,,
4/6/2024 14:30,0,487,,,,,,,,,,,,,,,,,,
4/6/2024 14:15,0,487,,,,,,,,,,,,,,,,,,
4/6/2024 14:00,0,488,,,,,,,,,,,,,,,,,,
4/6/2024 13:45,0,487,,,,,,,,,,,,,,,,,,
4/6/2024 13:30,0,488,,,,,,,,,,,,,,,,,,
4/6/2024 13:15,0,487,,,,,,,,,,,,,,,,,,
4/6/2024 13:00,0,487,,,,,,,,,,,,,,,,,,
4/6/2024 12:45,0,487,,,,,,,,,,,,,,,,,,
4/6/2024 12:30,0,486,,,,,,,,,,,,,,,,,,
4/6/2024 12:15,0,486,,,,,,,,,,,,,,,,,,
4/6/2024 12:00,0,485,,,,,,,,,,,,,,,,,,
4/6/2024 11:45,0,484,,,,,,,,,,,,,,,,,,
4/6/2024 11:30,0,483,,,,,,,,,,,,,,,,,,
4/6/2024 11:15,0,485,,,,,,,,,,,,,,,,,,
4/6/2024 11:00,0,484,,,,,,,,,,,,,,,,,,
4/6/2024 10:45,0,482,,,,,,,,,,,,,,,,,,
4/6/2024 10:30,0,483,,,,,,,,,,,,,,,,,,
4/6/2024 10:15,0,481,,,,,,,,,,,,,,,,,,
4/6/2024 10:00,0,481,,,,,,,,,,,,,,,,,,
4/6/2024 9:45,0,482,,,,,,,,,,,,,,,,,,
4/6/2024 9:30,0,482,,,,,,,,,,,,,,,,,,
4/6/2024 9:15,0,484,,,,,,,,,,,,,,,,,,
4/6/2024 9:00,0,485,,,,,,,,,,,,,,,,,,
4/6/2024 8:45,0,485,,,,,,,,,,,,,,,,,,
4/6/2024 8:30,0,487,,,,,,,,,,,,,,,,,,
4/6/2024 8:15,0,485,,,,,,,,,,,,,,,,,,
4/6/2024 8:00,0,487,,,,,,,,,,,,,,,,,,
4/6/2024 7:45,0,489,,,,,,,,,,,,,,,,,,
4/6/2024 7:30,0,490,,,,,,,,,,,,,,,,,,
4/6/2024 7:15,0,491,,,,,,,,,,,,,,,,,,
4/6/2024 7:00,0,493,,,,,,,,,,,,,,,,,,
4/6/2024 6:45,0,495,,,,,,,,,,,,,,,,,,
4/6/2024 6:30,0,498,,,,,,,,,,,,,,,,,,
4/6/2024 6:15,0,502,,,,,,,,,,,,,,,,,,
4/6/2024 6:00,0,507,,,,,,,,,,,,,,,,,,
