Data/Hora,Chuva Horária (mm),Nível adotado (cm),,,,,,,,,,,,,,,,,,
27/04/2024 01:15:00,0,163,,,,,,,,,,,,,,,,,,
27/04/2024 01:00:00,0,163,,,,,,,,,,,,,,,,,,
27/04/2024 00:45:00,,163,,,,,,,,,,,,,,,,,,
27/04/2024 00:30:00,,,,,,,,,,,,,,,,,,,,
26/04/2024 18:15:00,0,154,,,,,,,,,,,,,,,,,,
26/04/2024 18:00:00,0,154,,,,,,,,,,,,,,,,,,
26/04/2024 17:45:00,,154,,,,,,,,,,,,,,,,,,
26/04/2024 17:30:00,,,,,,,,,,,,,,,,,,,,
26/04/2024 14:15:00,0,154,,,,,,,,,,,,,,,,,,
26/04/2024 14:00:00,0,155,,,,,,,,,,,,,,,,,,
26/04/2024 13:45:00,,155,,,,,,,,,,,,,,,,,,
26/04/2024 13:30:00,,,,,,,,,,,,,,,,,,,,
26/04/2024 13:15:00,0,155,,,,,,,,,,,,,,,,,,
26/04/2024 13:00:00,0,156,,,,,,,,,,,,,,,,,,
26/04/2024 12:45:00,,156,,,,,,,,,,,,,,,,,,
26/04/2024 12:30:00,,,,,,,,,,,,,,,,,,,,
26/04/2024 12:15:00,0.2,156,,,,,,,,,,,,,,,,,,
26/04/2024 12:00:00,0,157,,,,,,,,,,,,,,,,,,
26/04/2024 11:45:00,,157,,,,,,,,,,,,,,,,,,
26/04/2024 11:30:00,,,,,,,,,,,,,,,,,,,,
26/04/2024 11:15:00,0,158,,,,,,,,,,,,,,,,,,
26/04/2024 11:00:00,0.2,158,,,,,,,,,,,,,,,,,,
26/04/2024 10:45:00,,159,,,,,,,,,,,,,,,,,,
26/04/2024 10:30:00,,,,,,,,,,,,,,,,,,,,
26/04/2024 10:15:00,0,159,,,,,,,,,,,,,,,,,,
26/04/2024 10:00:00,0,159,,,,,,,,,,,,,,,,,,
26/04/2024 09:45:00,,160,,,,,,,,,,,,,,,,,,
26/04/2024 09:30:00,,,,,,,,,,,,,,,,,,,,
26/04/2024 09:15:00,0,161,,,,,,,,,,,,,,,,,,
26/04/2024 09:00:00,0,161,,,,,,,,,,,,,,,,,,
26/04/2024 08:45:00,,162,,,,,,,,,,,,,,,,,,
26/04/2024 08:30:00,,,,,,,,,,,,,,,,,,,,
26/04/2024 08:15:00,0,163,,,,,,,,,,,,,,,,,,
26/04/2024 08:00:00,0,163,,,,,,,,,,,,,,,,,,
26/04/2024 07:45:00,,163,,,,,,,,,,,,,,,,,,
26/04/2024 07:30:00,,,,,,,,,,,,,,,,,,,,
26/04/2024 07:15:00,2.2,163,,,,,,,,,,,,,,,,,,
26/04/2024 07:00:00,0.2,163,,,,,,,,,,,,,,,,,,
26/04/2024 06:45:00,,164,,,,,,,,,,,,,,,,,,
26/04/2024 06:30:00,,,,,,,,,,,,,,,,,,,,
26/04/2024 06:15:00,0,165,,,,,,,,,,,,,,,,,,
26/04/2024 06:00:00,0,165,,,,,,,,,,,,,,,,,,
26/04/2024 05:45:00,,166,,,,,,,,,,,,,,,,,,
26/04/2024 05:30:00,,,,,,,,,,,,,,,,,,,,
26/04/2024 05:15:00,0,167,,,,,,,,,,,,,,,,,,
26/04/2024 05:00:00,0,167,,,,,,,,,,,,,,,,,,
26/04/2024 04:45:00,,167,,,,,,,,,,,,,,,,,,
26/04/2024 04:30:00,,,,,,,,,,,,,,,,,,,,
26/04/2024 04:15:00,0,168,,,,,,,,,,,,,,,,,,
26/04/2024 04:00:00,0,168,,,,,,,,,,,,,,,,,,
26/04/2024 03:45:00,,169,,,,,,,,,,,,,,,,,,
26/04/2024 03:30:00,,,,,,,,,,,,,,,,,,,,
26/04/2024 03:15:00,0,170,,,,,,,,,,,,,,,,,,
26/04/2024 03:00:00,0,170,,,,,,,,,,,,,,,,,,
26/04/2024 02:45:00,,171,,,,,,,,,,,,,,,,,,
26/04/2024 02:30:00,,,,,,,,,,,,,,,,,,,,
26/04/2024 02:15:00,0,172,,,,,,,,,,,,,,,,,,
26/04/2024 02:00:00,0,172,,,,,,,,,,,,,,,,,,
26/04/2024 01:45:00,,172,,,,,,,,,,,,,,,,,,
26/04/2024 01:30:00,,,,,,,,,,,,,,,,,,,,
26/04/2024 01:15:00,0,173,,,,,,,,,,,,,,,,,,
26/04/2024 01:00:00,0,173,,,,,,,,,,,,,,,,,,
26/04/2024 00:45:00,,173,,,,,,,,,,,,,,,,,,
26/04/2024 00:30:00,,,,,,,,,,,,,,,,,,,,
26/04/2024 00:15:00,0,174,,,,,,,,,,,,,,,,,,
26/04/2024 00:00:00,0,174,,,,,,,,,,,,,,,,,,
25/04/2024 23:45:00,,174,,,,,,,,,,,,,,,,,,
25/04/2024 23:30:00,,,,,,,,,,,,,,,,,,,,
25/04/2024 23:15:00,0,175,,,,,,,,,,,,,,,,,,
25/04/2024 23:00:00,0,175,,,,,,,,,,,,,,,,,,
25/04/2024 22:45:00,,175,,,,,,,,,,,,,,,,,,
25/04/2024 22:30:00,,,,,,,,,,,,,,,,,,,,
25/04/2024 22:15:00,0,175,,,,,,,,,,,,,,,,,,
25/04/2024 22:00:00,0,175,,,,,,,,,,,,,,,,,,
25/04/2024 21:45:00,,176,,,,,,,,,,,,,,,,,,
25/04/2024 21:30:00,,,,,,,,,,,,,,,,,,,,
25/04/2024 21:15:00,0,176,,,,,,,,,,,,,,,,,,
25/04/2024 21:00:00,0,176,,,,,,,,,,,,,,,,,,
25/04/2024 20:45:00,,176,,,,,,,,,,,,,,,,,,
25/04/2024 20:30:00,,,,,,,,,,,,,,,,,,,,
25/04/2024 20:15:00,0,176,,,,,,,,,,,,,,,,,,
25/04/2024 20:00:00,0,176,,,,,,,,,,,,,,,,,,
25/04/2024 19:45:00,,176,,,,,,,,,,,,,,,,,,
25/04/2024 19:30:00,,,,,,,,,,,,,,,,,,,,
25/04/2024 19:15:00,0,177,,,,,,,,,,,,,,,,,,
25/04/2024 19:00:00,0,177,,,,,,,,,,,,,,,,,,
25/04/2024 18:45:00,,177,,,,,,,,,,,,,,,,,,
25/04/2024 18:30:00,,,,,,,,,,,,,,,,,,,,
25/04/2024 18:15:00,0,177,,,,,,,,,,,,,,,,,,
25/04/2024 18:00:00,0,177,,,,,,,,,,,,,,,,,,
25/04/2024 17:45:00,,177,,,,,,,,,,,,,,,,,,
25/04/2024 17:30:00,,,,,,,,,,,,,,,,,,,,
25/04/2024 16:15:00,0,177,,,,,,,,,,,,,,,,,,
25/04/2024 16:00:00,0,177,,,,,,,,,,,,,,,,,,
25/04/2024 15:45:00,,177,,,,,,,,,,,,,,,,,,
25/04/2024 15:30:00,,,,,,,,,,,,,,,,,,,,
25/04/2024 09:15:00,0,179,,,,,,,,,,,,,,,,,,
25/04/2024 09:00:00,0,180,,,,,,,,,,,,,,,,,,
25/04/2024 08:45:00,,180,,,,,,,,,,,,,,,,,,
25/04/2024 08:30:00,,,,,,,,,,,,,,,,,,,,
25/04/2024 08:15:00,0,181,,,,,,,,,,,,,,,,,,
25/04/2024 08:00:00,0,181,,,,,,,,,,,,,,,,,,
25/04/2024 07:45:00,,182,,,,,,,,,,,,,,,,,,
25/04/2024 07:30:00,,,,,,,,,,,,,,,,,,,,
25/04/2024 07:15:00,0,183,,,,,,,,,,,,,,,,,,
25/04/2024 07:00:00,0,183,,,,,,,,,,,,,,,,,,
25/04/2024 06:45:00,,184,,,,,,,,,,,,,,,,,,
25/04/2024 06:30:00,,,,,,,,,,,,,,,,,,,,
25/04/2024 06:15:00,0,185,,,,,,,,,,,,,,,,,,
25/04/2024 06:00:00,0,185,,,,,,,,,,,,,,,,,,
25/04/2024 05:45:00,,186,,,,,,,,,,,,,,,,,,
25/04/2024 05:30:00,,,,,,,,,,,,,,,,,,,,
25/04/2024 05:15:00,0,187,,,,,,,,,,,,,,,,,,
25/04/2024 05:00:00,0,187,,,,,,,,,,,,,,,,,,
25/04/2024 04:45:00,,187,,,,,,,,,,,,,,,,,,
25/04/2024 04:30:00,,,,,,,,,,,,,,,,,,,,
25/04/2024 04:15:00,0,188,,,,,,,,,,,,,,,,,,
25/04/2024 04:00:00,0,188,,,,,,,,,,,,,,,,,,
25/04/2024 03:45:00,,189,,,,,,,,,,,,,,,,,,
25/04/2024 03:30:00,,,,,,,,,,,,,,,,,,,,
25/04/2024 03:15:00,0,190,,,,,,,,,,,,,,,,,,
25/04/2024 03:00:00,0,190,,,,,,,,,,,,,,,,,,
25/04/2024 02:45:00,,190,,,,,,,,,,,,,,,,,,
25/04/2024 02:30:00,,,,,,,,,,,,,,,,,,,,
25/04/2024 02:15:00,0,190,,,,,,,,,,,,,,,,,,
25/04/2024 02:00:00,0,191,,,,,,,,,,,,,,,,,,
25/04/2024 01:45:00,,191,,,,,,,,,,,,,,,,,,
25/04/2024 01:30:00,,,,,,,,,,,,,,,,,,,,
25/04/2024 01:15:00,0,192,,,,,,,,,,,,,,,,,,
