Data/Hora,Chuva Horária (mm),Nível adotado (cm),,,,,,,,,,,,,,,,,,
30/05/2024 06:00:00,,698,,,,,,,,,,,,,,,,,,
29/05/2024 18:00:00,,728,,,,,,,,,,,,,,,,,,
29/05/2024 12:00:00,,738,,,,,,,,,,,,,,,,,,
29/05/2024 06:00:00,,752,,,,,,,,,,,,,,,,,,
26/05/2024 08:00:00,,962,,,,,,,,,,,,,,,,,,
26/05/2024 07:00:00,,964,,,,,,,,,,,,,,,,,,
25/05/2024 17:00:00,,1034,,,,,,,,,,,,,,,,,,
25/05/2024 15:00:00,,1046,,,,,,,,,,,,,,,,,,
25/05/2024 12:00:00,,1054,,,,,,,,,,,,,,,,,,
25/05/2024 10:00:00,,1060,,,,,,,,,,,,,,,,,,
25/05/2024 08:00:00,,1062,,,,,,,,,,,,,,,,,,
25/05/2024 06:00:00,,1064,,,,,,,,,,,,,,,,,,
25/05/2024 00:00:00,,1054,,,,,,,,,,,,,,,,,,
24/05/2024 22:00:00,,1044,,,,,,,,,,,,,,,,,,
24/05/2024 20:00:00,,1030,,,,,,,,,,,,,,,,,,
24/05/2024 17:00:00,,1020,,,,,,,,,,,,,,,,,,
24/05/2024 16:00:00,,1014,,,,,,,,,,,,,,,,,,
24/05/2024 14:00:00,,1010,,,,,,,,,,,,,,,,,,
24/05/2024 11:00:00,,998,,,,,,,,,,,,,,,,,,
24/05/2024 09:00:00,,988,,,,,,,,,,,,,,,,,,
24/05/2024 07:00:00,,974,,,,,,,,,,,,,,,,,,
24/05/2024 05:00:00,,956,,,,,,,,,,,,,,,,,,
24/05/2024 00:00:00,,880,,,,,,,,,,,,,,,,,,
23/05/2024 22:00:00,,832,,,,,,,,,,,,,,,,,,
23/05/2024 17:00:00,,584,,,,,,,,,,,,,,,,,,
23/05/2024 07:00:00,,510,,,,,,,,,,,,,,,,,,
22/05/2024 17:00:00,,506,,,,,,,,,,,,,,,,,,
22/05/2024 07:00:00,,502,,,,,,,,,,,,,,,,,,
21/05/2024 11:00:00,,560,,,,,,,,,,,,,,,,,,
21/05/2024 06:00:00,,570,,,,,,,,,,,,,,,,,,
20/05/2024 12:00:00,,630,,,,,,,,,,,,,,,,,,
20/05/2024 06:00:00,,646,,,,,,,,,,,,,,,,,,
19/05/2024 12:00:00,,710,,,,,,,,,,,,,,,,,,
19/05/2024 06:00:00,,730,,,,,,,,,,,,,,,,,,
18/05/2024 06:00:00,,822,,,,,,,,,,,,,,,,,,
17/05/2024 12:00:00,,818,,,,,,,,,,,,,,,,,,
17/05/2024 06:00:00,,820,,,,,,,,,,,,,,,,,,
16/05/2024 18:00:00,,862,,,,,,,,,,,,,,,,,,
16/05/2024 14:00:00,,882,,,,,,,,,,,,,,,,,,
16/05/2024 10:00:00,,907,,,,,,,,,,,,,,,,,,
16/05/2024 06:00:00,,934,,,,,,,,,,,,,,,,,,
15/05/2024 20:55:00,,,,,,,,,,,,,,,,,,,,
15/05/2024 18:00:00,,1017,,,,,,,,,,,,,,,,,,
15/05/2024 14:00:00,,1044,,,,,,,,,,,,,,,,,,
15/05/2024 13:00:00,,1054,,,,,,,,,,,,,,,,,,
15/05/2024 12:00:00,,1064,,,,,,,,,,,,,,,,,,
15/05/2024 11:00:00,,1072,,,,,,,,,,,,,,,,,,
15/05/2024 10:00:00,,1078,,,,,,,,,,,,,,,,,,
15/05/2024 09:00:00,,1088,,,,,,,,,,,,,,,,,,
15/05/2024 08:00:00,,1098,,,,,,,,,,,,,,,,,,
15/05/2024 06:00:00,,1120,,,,,,,,,,,,,,,,,,
14/05/2024 20:00:00,,1220,,,,,,,,,,,,,,,,,,
14/05/2024 17:00:00,,1244,,,,,,,,,,,,,,,,,,
14/05/2024 16:00:00,,1256,,,,,,,,,,,,,,,,,,
14/05/2024 15:00:00,,1270,,,,,,,,,,,,,,,,,,
14/05/2024 11:00:00,,1302,,,,,,,,,,,,,,,,,,
14/05/2024 07:00:00,,1364,,,,,,,,,,,,,,,,,,
14/05/2024 06:00:00,,1377,,,,,,,,,,,,,,,,,,
13/05/2024 20:00:00,,1495,,,,,,,,,,,,,,,,,,
13/05/2024 19:00:00,,1508,,,,,,,,,,,,,,,,,,
13/05/2024 18:00:00,,1518,,,,,,,,,,,,,,,,,,
13/05/2024 17:00:00,,1524,,,,,,,,,,,,,,,,,,
13/05/2024 16:00:00,,1535,,,,,,,,,,,,,,,,,,
13/05/2024 15:00:00,,1544,,,,,,,,,,,,,,,,,,
13/05/2024 14:00:00,,1552,,,,,,,,,,,,,,,,,,
13/05/2024 13:00:00,,1560,,,,,,,,,,,,,,,,,,
13/05/2024 12:00:00,,1564,,,,,,,,,,,,,,,,,,
13/05/2024 11:00:00,,1570,,,,,,,,,,,,,,,,,,
13/05/2024 10:00:00,,1573,,,,,,,,,,,,,,,,,,
13/05/2024 09:00:00,,1577,,,,,,,,,,,,,,,,,,
13/05/2024 08:00:00,,1580,,,,,,,,,,,,,,,,,,
13/05/2024 07:00:00,,1580,,,,,,,,,,,,,,,,,,
13/05/2024 06:00:00,,1571,,,,,,,,,,,,,,,,,,
13/05/2024 05:00:00,,1567,,,,,,,,,,,,,,,,,,
13/05/2024 04:00:00,,1566,,,,,,,,,,,,,,,,,,
13/05/2024 03:00:00,,1562,,,,,,,,,,,,,,,,,,
13/05/2024 02:00:00,,1557,,,,,,,,,,,,,,,,,,
13/05/2024 01:00:00,,1550,,,,,,,,,,,,,,,,,,
13/05/2024 00:08:00,,1547,,,,,,,,,,,,,,,,,,
13/05/2024 00:00:00,,1543,,,,,,,,,,,,,,,,,,
12/5/2024 23:00,,1534,,,,,,,,,,,,,,,,,,
12/5/2024 22:00,,1526,,,,,,,,,,,,,,,,,,
12/5/2024 21:00,,1525,,,,,,,,,,,,,,,,,,
12/5/2024 20:00,,1513,,,,,,,,,,,,,,,,,,
12/5/2024 19:00,,1506,,,,,,,,,,,,,,,,,,
12/5/2024 18:00,,1492,,,,,,,,,,,,,,,,,,
12/5/2024 17:00,,1480,,,,,,,,,,,,,,,,,,
12/5/2024 16:00,,1472,,,,,,,,,,,,,,,,,,
12/5/2024 15:00,,1460,,,,,,,,,,,,,,,,,,
12/5/2024 13:00,,1437,,,,,,,,,,,,,,,,,,
12/5/2024 12:00,,1425,,,,,,,,,,,,,,,,,,
12/5/2024 11:00,,1412,,,,,,,,,,,,,,,,,,
12/5/2024 10:00,,1398,,,,,,,,,,,,,,,,,,
12/5/2024 9:00,,1382,,,,,,,,,,,,,,,,,,
12/5/2024 8:00,,1368,,,,,,,,,,,,,,,,,,
