Data/Hora,Chuva Horária (mm),Nível adotado (cm),,,,,,,,,,,,,,,,,,
4/6/2024 18:00,0,317,,,,,,,,,,,,,,,,,,
4/6/2024 17:45,0,318,,,,,,,,,,,,,,,,,,
4/6/2024 17:30,0,318,,,,,,,,,,,,,,,,,,
4/6/2024 17:15,0,319,,,,,,,,,,,,,,,,,,
4/6/2024 17:00,0,320,,,,,,,,,,,,,,,,,,
4/6/2024 16:45,0,321,,,,,,,,,,,,,,,,,,
4/6/2024 16:30,0,322,,,,,,,,,,,,,,,,,,
4/6/2024 16:15,0,322,,,,,,,,,,,,,,,,,,
4/6/2024 16:00,0,323,,,,,,,,,,,,,,,,,,
4/6/2024 15:45,0,324,,,,,,,,,,,,,,,,,,
4/6/2024 15:30,0,325,,,,,,,,,,,,,,,,,,
4/6/2024 15:15,0,325,,,,,,,,,,,,,,,,,,
4/6/2024 15:00,0,327,,,,,,,,,,,,,,,,,,
4/6/2024 14:45,0,328,,,,,,,,,,,,,,,,,,
4/6/2024 14:30,0,328,,,,,,,,,,,,,,,,,,
4/6/2024 14:15,0,330,,,,,,,,,,,,,,,,,,
4/6/2024 14:00,0,331,,,,,,,,,,,,,,,,,,
4/6/2024 13:45,0,331,,,,,,,,,,,,,,,,,,
4/6/2024 13:30,0,332,,,,,,,,,,,,,,,,,,
4/6/2024 13:15,0,333,,,,,,,,,,,,,,,,,,
4/6/2024 13:00,0,334,,,,,,,,,,,,,,,,,,
4/6/2024 12:45,0,334,,,,,,,,,,,,,,,,,,
4/6/2024 12:30,0,336,,,,,,,,,,,,,,,,,,
4/6/2024 12:15,0,337,,,,,,,,,,,,,,,,,,
4/6/2024 12:00,0,338,,,,,,,,,,,,,,,,,,
4/6/2024 11:45,0,340,,,,,,,,,,,,,,,,,,
4/6/2024 11:30,0,341,,,,,,,,,,,,,,,,,,
4/6/2024 11:15,0,341,,,,,,,,,,,,,,,,,,
4/6/2024 11:00,0,342,,,,,,,,,,,,,,,,,,
4/6/2024 10:45,0,343,,,,,,,,,,,,,,,,,,
4/6/2024 10:30,0,345,,,,,,,,,,,,,,,,,,
4/6/2024 10:15,0,346,,,,,,,,,,,,,,,,,,
4/6/2024 10:00,0,347,,,,,,,,,,,,,,,,,,
4/6/2024 9:45,0,348,,,,,,,,,,,,,,,,,,
4/6/2024 9:30,0,349,,,,,,,,,,,,,,,,,,
4/6/2024 9:15,0,350,,,,,,,,,,,,,,,,,,
4/6/2024 9:00,0,351,,,,,,,,,,,,,,,,,,
4/6/2024 8:45,0,352,,,,,,,,,,,,,,,,,,
4/6/2024 8:30,0,353,,,,,,,,,,,,,,,,,,
4/6/2024 8:15,0,355,,,,,,,,,,,,,,,,,,
4/6/2024 8:00,0,355,,,,,,,,,,,,,,,,,,
4/6/2024 7:45,0,355,,,,,,,,,,,,,,,,,,
4/6/2024 7:30,0,357,,,,,,,,,,,,,,,,,,
4/6/2024 7:15,0,358,,,,,,,,,,,,,,,,,,
4/6/2024 7:00,0,358,,,,,,,,,,,,,,,,,,
4/6/2024 6:45,0,359,,,,,,,,,,,,,,,,,,
4/6/2024 6:30,0,360,,,,,,,,,,,,,,,,,,
4/6/2024 6:15,0,361,,,,,,,,,,,,,,,,,,
4/6/2024 6:00,0,360,,,,,,,,,,,,,,,,,,
4/6/2024 5:45,0,362,,,,,,,,,,,,,,,,,,
4/6/2024 5:30,0,363,,,,,,,,,,,,,,,,,,
4/6/2024 5:15,0,363,,,,,,,,,,,,,,,,,,
4/6/2024 5:00,0,364,,,,,,,,,,,,,,,,,,
4/6/2024 4:45,0,364,,,,,,,,,,,,,,,,,,
4/6/2024 4:30,0,365,,,,,,,,,,,,,,,,,,
4/6/2024 4:15,0,365,,,,,,,,,,,,,,,,,,
4/6/2024 4:00,0,365,,,,,,,,,,,,,,,,,,
4/6/2024 3:45,0,365,,,,,,,,,,,,,,,,,,
4/6/2024 3:30,0,366,,,,,,,,,,,,,,,,,,
4/6/2024 3:15,0,365,,,,,,,,,,,,,,,,,,
4/6/2024 3:00,0,366,,,,,,,,,,,,,,,,,,
4/6/2024 2:45,0,366,,,,,,,,,,,,,,,,,,
4/6/2024 2:30,0,366,,,,,,,,,,,,,,,,,,
4/6/2024 2:15,0,366,,,,,,,,,,,,,,,,,,
4/6/2024 2:00,0,366,,,,,,,,,,,,,,,,,,
4/6/2024 1:45,0,366,,,,,,,,,,,,,,,,,,
4/6/2024 1:30,0,366,,,,,,,,,,,,,,,,,,
4/6/2024 1:15,0,366,,,,,,,,,,,,,,,,,,
4/6/2024 1:00,0,367,,,,,,,,,,,,,,,,,,
4/6/2024 0:45,0,366,,,,,,,,,,,,,,,,,,
4/6/2024 0:30,0,367,,,,,,,,,,,,,,,,,,
4/6/2024 0:15,0,366,,,,,,,,,,,,,,,,,,
4/6/2024 0:00,0,366,,,,,,,,,,,,,,,,,,
3/6/2024 23:45,0,367,,,,,,,,,,,,,,,,,,
3/6/2024 23:30,0,366,,,,,,,,,,,,,,,,,,
3/6/2024 23:15,0,366,,,,,,,,,,,,,,,,,,
3/6/2024 23:00,0,366,,,,,,,,,,,,,,,,,,
3/6/2024 22:45,0,365,,,,,,,,,,,,,,,,,,
3/6/2024 22:30,0,365,,,,,,,,,,,,,,,,,,
3/6/2024 22:15,0,365,,,,,,,,,,,,,,,,,,
3/6/2024 22:00,0,364,,,,,,,,,,,,,,,,,,
3/6/2024 21:45,0,363,,,,,,,,,,,,,,,,,,
3/6/2024 21:30,0,363,,,,,,,,,,,,,,,,,,
3/6/2024 21:15,0,362,,,,,,,,,,,,,,,,,,
3/6/2024 21:00,0,361,,,,,,,,,,,,,,,,,,
3/6/2024 20:45,0,361,,,,,,,,,,,,,,,,,,
3/6/2024 20:30,0,360,,,,,,,,,,,,,,,,,,
3/6/2024 20:15,0,359,,,,,,,,,,,,,,,,,,
3/6/2024 20:00,0,358,,,,,,,,,,,,,,,,,,
3/6/2024 19:45,0,357,,,,,,,,,,,,,,,,,,
3/6/2024 19:30,0,356,,,,,,,,,,,,,,,,,,
3/6/2024 19:15,0,355,,,,,,,,,,,,,,,,,,
3/6/2024 19:00,0,353,,,,,,,,,,,,,,,,,,
3/6/2024 18:45,0,352,,,,,,,,,,,,,,,,,,
3/6/2024 18:30,0,350,,,,,,,,,,,,,,,,,,
3/6/2024 18:15,0,348,,,,,,,,,,,,,,,,,,
3/6/2024 18:00,0,346,,,,,,,,,,,,,,,,,,
3/6/2024 17:45,0,345,,,,,,,,,,,,,,,,,,
3/6/2024 17:30,0,342,,,,,,,,,,,,,,,,,,
3/6/2024 17:15,0,340,,,,,,,,,,,,,,,,,,
3/6/2024 17:00,0,338,,,,,,,,,,,,,,,,,,
3/6/2024 16:45,0,335,,,,,,,,,,,,,,,,,,
3/6/2024 16:30,0,333,,,,,,,,,,,,,,,,,,
3/6/2024 16:15,0,330,,,,,,,,,,,,,,,,,,
3/6/2024 16:00,0,328,,,,,,,,,,,,,,,,,,
3/6/2024 15:45,0,326,,,,,,,,,,,,,,,,,,
3/6/2024 15:30,0,323,,,,,,,,,,,,,,,,,,
3/6/2024 15:15,0,321,,,,,,,,,,,,,,,,,,
3/6/2024 15:00,0,319,,,,,,,,,,,,,,,,,,
3/6/2024 14:45,0,316,,,,,,,,,,,,,,,,,,
3/6/2024 14:30,0,314,,,,,,,,,,,,,,,,,,
3/6/2024 14:15,0,312,,,,,,,,,,,,,,,,,,
3/6/2024 14:00,0,310,,,,,,,,,,,,,,,,,,
3/6/2024 13:45,0,309,,,,,,,,,,,,,,,,,,
3/6/2024 13:30,0,306,,,,,,,,,,,,,,,,,,
3/6/2024 13:15,0,305,,,,,,,,,,,,,,,,,,
3/6/2024 13:00,0,304,,,,,,,,,,,,,,,,,,
3/6/2024 12:45,0.2,302,,,,,,,,,,,,,,,,,,
3/6/2024 12:30,0,301,,,,,,,,,,,,,,,,,,
3/6/2024 12:15,0,299,,,,,,,,,,,,,,,,,,
3/6/2024 12:00,0,298,,,,,,,,,,,,,,,,,,
3/6/2024 11:45,0.4,297,,,,,,,,,,,,,,,,,,
3/6/2024 11:30,0.4,296,,,,,,,,,,,,,,,,,,
3/6/2024 11:15,0.4,294,,,,,,,,,,,,,,,,,,
3/6/2024 11:00,0.6,294,,,,,,,,,,,,,,,,,,
3/6/2024 10:45,0.8,293,,,,,,,,,,,,,,,,,,
3/6/2024 10:30,1.4,293,,,,,,,,,,,,,,,,,,
3/6/2024 10:15,1.2,292,,,,,,,,,,,,,,,,,,
3/6/2024 10:00,1,292,,,,,,,,,,,,,,,,,,
